,Allele,Encoding,Train_size,MCC,MCC_std,AUC,AUC_std
0,A0301,BLOSUM50,268,0.4251864412211007,0.05436528613525895,0.863238301254637,0.019793918843852353
1,A0301,BLOSUM50,670,0.6413385705619606,0.04512461167066219,0.936785617724984,0.012448843949020362
2,A0301,BLOSUM50,1340,0.7489226306782683,0.0384518635911308,0.9679145271828453,0.008124455985363216
3,A0301,ONE_HOT,268,0.4648053889957897,0.051437496266878956,0.876473521796936,0.019189596827943207
4,A0301,ONE_HOT,670,0.681110654179825,0.04242672725180859,0.9462962412940898,0.01154399377057668
5,A0301,ONE_HOT,1340,0.8089294977382073,0.03378055576564755,0.9799231613315521,0.006699950993438065
6,A0301,ONE_HOT_FRAC,268,0.4980338993476063,0.04871985409505711,0.8791036806189565,0.020082401901336245
7,A0301,ONE_HOT_FRAC,670,0.6695761732997697,0.04394164467005231,0.943964270905664,0.012383144188552549
8,A0301,ONE_HOT_FRAC,1340,0.8230224746759158,0.03285191638787427,0.9798210772514416,0.006340836105695749
9,A0301,ONE_HOT_MOD,268,0.5197651230950072,0.05123432363364292,0.8799623379589785,0.019688770715249992
10,A0301,ONE_HOT_MOD,670,0.6651805504695228,0.04444346928495703,0.9442411307858878,0.011735458451404737
11,A0301,ONE_HOT_MOD,1340,0.7204712398541908,0.0402324541435746,0.9590068314993788,0.009913750245960876
12,A0301,CHARGE_SIZE_HYDROPHOB,268,0.048952683510802224,0.05784630965817542,0.721552915509312,0.029284200686829586
13,A0301,CHARGE_SIZE_HYDROPHOB,670,0.4739081831174501,0.04740357706503513,0.8790618904424112,0.018311352132138452
14,A0301,CHARGE_SIZE_HYDROPHOB,1340,0.5408647480959055,0.047925641071328115,0.8917635486123415,0.017324266717477478
15,A0201,BLOSUM50,395,0.7212113288084082,0.029585673485957496,0.9341536322368253,0.009816256310755339
16,A0201,BLOSUM50,988,0.7729007065007742,0.026576506126667256,0.9589618914797724,0.00700702994926924
17,A0201,BLOSUM50,1976,0.8279565395700703,0.022804290525954535,0.9749207708501622,0.005149724289670515
18,A0201,ONE_HOT,395,0.6765823584232826,0.029886577772221843,0.9313502563537429,0.009401511230199432
19,A0201,ONE_HOT,988,0.8013404348621026,0.02418979525469348,0.9667875693901108,0.0062606640656255085
20,A0201,ONE_HOT,1976,0.8319657983277137,0.02284363505850835,0.9768590635497223,0.0049139286035131445
21,A0201,ONE_HOT_FRAC,395,0.6806206096661437,0.030484636201596638,0.9254445882095791,0.010044224271408784
22,A0201,ONE_HOT_FRAC,988,0.7885502647338378,0.02622576485981453,0.9634797346311073,0.00652684858348764
23,A0201,ONE_HOT_FRAC,1976,0.8562913332103314,0.020471148851409854,0.980331070408254,0.00444503167074736
24,A0201,ONE_HOT_MOD,395,0.6816630748835991,0.02943551356668531,0.9259660450652852,0.010049212177923181
25,A0201,ONE_HOT_MOD,988,0.7742196909963938,0.02527797831764574,0.9613254964908697,0.006758913580745197
26,A0201,ONE_HOT_MOD,1976,0.7994404620922312,0.024365341224458867,0.9673438976795147,0.006040847142322971
27,A0201,CHARGE_SIZE_HYDROPHOB,395,0.3211646178112446,0.037650419769292454,0.7763019757793963,0.017031858407174118
28,A0201,CHARGE_SIZE_HYDROPHOB,988,0.613036384158253,0.03309725437387446,0.8989550934801819,0.012579079849190265
29,A0201,CHARGE_SIZE_HYDROPHOB,1976,0.6432105679629245,0.03150059817332035,0.9081796824284549,0.011826497572603904
30,A3301,BLOSUM50,145,0.18776419727603938,0.09965176485713666,0.816494589699955,0.036786422313602817
31,A3301,BLOSUM50,364,0.6155302562460925,0.07309898938230551,0.9366924419560128,0.025287049252559816
32,A3301,BLOSUM50,729,0.7331911253469895,0.06362141173775258,0.9653164561584394,0.015781971609536056
33,A3301,ONE_HOT,145,0.33845506943784504,0.08868964473029584,0.8303443504352128,0.03852441024472324
34,A3301,ONE_HOT,364,0.5256747790845265,0.07918735408527089,0.9120279860785595,0.028945354805862942
35,A3301,ONE_HOT,729,0.7724780681359317,0.05839600022805933,0.9735812802953128,0.015913878594897585
36,A3301,ONE_HOT_FRAC,145,0.307703350406166,0.08814326566538604,0.844105496416523,0.03871560552118942
37,A3301,ONE_HOT_FRAC,364,0.5683230784277719,0.06798800052096352,0.9280500722481215,0.02443871823273707
38,A3301,ONE_HOT_FRAC,729,0.7416663911917235,0.06187777447063984,0.9688707024469133,0.01599145333507504
39,A3301,ONE_HOT_MOD,145,0.2908583262201371,0.09266981414582467,0.8134021437321274,0.0405586938459378
40,A3301,ONE_HOT_MOD,364,0.593539328227715,0.07241454015098522,0.9259689189994306,0.025803806288199883
41,A3301,ONE_HOT_MOD,729,0.7320176880852144,0.06366408060131988,0.9644526753334353,0.016127365217297553
42,A3301,CHARGE_SIZE_HYDROPHOB,145,0.09614427927157979,0.09463576728949158,0.6775244701153774,0.04765342178400623
43,A3301,CHARGE_SIZE_HYDROPHOB,364,0.06581455798671534,0.08644259552890102,0.7281416815113858,0.043571574707178894
44,A3301,CHARGE_SIZE_HYDROPHOB,729,0.022557248431495452,0.062342073363221985,0.730338096340401,0.04337356611655161
